name,host_name,neighbourhood_group,neighbourhood,room_type,price,service_fee,minimum_nights,number_of_reviews,review_rate_number,availability_365
ENTIRE BEAUTIFUL FULLY FURNISHED 1 BRD,Nina,Brooklyn,Williamsburg,Entire home/apt,253.0,51.0,1,2,4.0,0
Private bedroom in Morningside Heights,Sai Swaroop,Manhattan,Morningside Heights,Private room,402.0,80.0,5,0,1.0,0
ROOM  TWO,Ravita,Brooklyn,Cypress Hills,Private room,112.0,22.0,3,0,5.0,364
Spacious 2 bedroom Garden apartment,Ruma,Brooklyn,Clinton Hill,Entire home/apt,621.0,124.0,2,49,5.0,214
Garden Apartment with private patio in Townhouse,Ellen,Brooklyn,Clinton Hill,Entire home/apt,400.0,80.0,1,121,3.0,132
Private room with own T.V.,Mark,Queens,Woodhaven,Private room,600.0,120.0,5,23,4.0,216
Gorgeous private bedroom with en-suite!!,Unknown Host,Manhattan,Harlem,Private room,515.0,103.0,30,1,2.0,0
Lovely Huge 1-bedroom Apartment NYC,Nicole,Manhattan,East Harlem,Entire home/apt,1158.0,232.0,1,6,4.0,257
Nice Clean Suite in Astoria 20min to Manhattan,Funda,Queens,Ditmars Steinway,Private room,102.0,20.0,30,1,3.0,48
UNTITLED at Freeman - Tower Alley Studio 1407,Karen,Manhattan,Lower East Side,Entire home/apt,201.0,40.0,2,22,2.0,204
Home Away from Home,Chris,Manhattan,Upper West Side,Entire home/apt,632.0,126.0,3,233,3.0,300
"Chic, modern Studio with balcony access",Gillian,Brooklyn,Bushwick,Entire home/apt,1025.0,205.0,1,8,4.0,88
Private Condo Room w/ Patio,Agustina,Bronx,Longwood,Private room,614.0,123.0,2,68,2.0,90
Newly Renovated Oasis in Prime Carroll Gardens,Maggie,Brooklyn,Carroll Gardens,Entire home/apt,122.0,24.0,30,4,3.0,120
Full 1 bedroom apartment,Veton,Staten Island,Prince's Bay,Entire home/apt,208.0,42.0,5,7,5.0,53
"Private Rm/King Size Bed, just you +host in apt",Jazmin,Manhattan,Harlem,Private room,1036.0,207.0,1,45,5.0,34
East Village! Beautiful 2BD Apt.,Rushil,Manhattan,East Village,Entire home/apt,912.0,182.0,23,1,3.0,0
Beautiful Master Bedroom Midtown East,David,Manhattan,Upper East Side,Private room,783.0,157.0,30,1,2.0,317
Big Room in Townhouse Close to 5 Medical Centers,Eugenia,Brooklyn,Crown Heights,Private room,918.0,184.0,10,12,3.0,312
"Relaxing, Riverbank Park, West Harlem",Shareef,Manhattan,Harlem,Private room,1096.0,219.0,7,35,5.0,11
Quiet Brooklyn Apartment,Danielle,Brooklyn,Greenpoint,Entire home/apt,104.0,21.0,7,0,2.0,143
Sunny Bedroom Steps to Subway & Central Park,Mante,Manhattan,East Harlem,Private room,273.0,55.0,5,95,5.0,87
â˜…2minutes walk from stationâ˜…,Shogo,Queens,Woodside,Private room,54.0,11.0,30,2,2.0,27
Cozy East Flatbush Private Room with spare room,Melitsa,Brooklyn,East Flatbush,Private room,356.0,71.0,2,1,4.0,127
10 MINUTES FROM MANHATTAN (Big),Kathy,Queens,Elmhurst,Private room,738.0,148.0,1,3,5.0,317
Charming Manhattan 2 Bedroom,Linda,Manhattan,Harlem,Entire home/apt,1181.0,236.0,1,52,5.0,90
2BR DUPLEX WITH PRIVATE GARDEN IN CHELSEA,Pranjal,Manhattan,Chelsea,Entire home/apt,214.0,43.0,90,0,4.0,364
Quiet room in apt Williamsburg 10 mins to City,Belinda,Brooklyn,Williamsburg,Private room,639.0,128.0,2,27,2.0,0
Sonder | Stock Exchange | Classic 1BR + Kitchen,Sonder (NYC),Manhattan,Financial District,Entire home/apt,1138.0,228.0,2,2,4.0,332
Private bedroom in Washington Heights,Sonia And Lissette,Manhattan,Washington Heights,Private room,423.0,85.0,3,8,5.0,2
The room,Rayshawn,Brooklyn,Flatbush,Private room,540.0,108.0,1,0,3.0,0
luxury 1 BedRoom Apt Hells Kitchen,Jasen,Manhattan,Hell's Kitchen,Entire home/apt,737.0,147.0,30,18,2.0,364
"Private Floor, Room and bathroom In Townhouse, BK",Doug,Brooklyn,Williamsburg,Private room,670.0,134.0,10,62,3.0,211
UWS Bedroom with Rooftop Access!,Kenya,Manhattan,Upper West Side,Private room,274.0,55.0,3,5,2.0,84
Spacious and Serene East Williamsburg Apartment,Hally,Brooklyn,Williamsburg,Entire home/apt,451.0,90.0,3,8,5.0,270
â˜®ï¸BUDDHALOVERðŸ•‰ WALKAWAYFROM EVERYTHING.7minFromJFK!,Danny,Queens,Richmond Hill,Private room,280.0,56.0,3,5,2.0,337
Warm Duplex Townhouse,Joseph,Brooklyn,Crown Heights,Entire home/apt,250.0,50.0,4,9,4.0,247
Minaâ€™s House,Mina,Queens,Jamaica,Private room,309.0,62.0,1,26,3.0,0
Cozy Brownstone Living in Brooklyn,Phillip + Zack,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75.0,15.0,3,153,4.0,47
Powell Victorian,Mimi,Brooklyn,Flatbush,Private room,620.0,124.0,2,0,3.0,83
Perfect Apt In The Heart of Bushwick,John,Brooklyn,Bushwick,Entire home/apt,456.0,91.0,3,0,4.0,260
Spacious Williamsburg Duplex w/ Private Patio,Chelsea,Brooklyn,Williamsburg,Entire home/apt,273.0,55.0,2,0,3.0,3
Large 2 Bedroom Apt - Close to everything!,Andre,Queens,Ridgewood,Entire home/apt,589.0,118.0,3,1,5.0,0
Charming and Convenient East Village Apartment,Mei Ni,Manhattan,East Village,Private room,258.0,52.0,4,2,4.0,39
Great room in amazing Little Italy location!,Nathan,Manhattan,Little Italy,Private room,197.0,39.0,2,1,4.0,0
Brand New Cozy Apt Upper West Manhattan,Ada,Manhattan,Upper West Side,Private room,966.0,193.0,1,45,2.0,0
Margarita's Room # 2 A unos minutos del JFK y LGA,Lucio,Queens,Richmond Hill,Private room,1129.0,226.0,1,16,3.0,129
Modern Townhouse - Chic Sunny Room - L/J/A/C Train,Rony,Brooklyn,Bushwick,Private room,1172.0,234.0,3,2,2.0,335
Beautiful full-service UWS studio,Jilly,Manhattan,Upper West Side,Private room,755.0,151.0,10,0,2.0,46
Duplex home in Historic Cobble Hill,Pj,Brooklyn,Cobble Hill,Entire home/apt,1015.0,203.0,21,1,5.0,31
Massive Modern  State of the Art Luxury Home,Jeromy,Brooklyn,East Flatbush,Private room,299.0,60.0,3,3,3.0,0
Minimalist Vegan Room in Columbus Circle,Harrison,Manhattan,Hell's Kitchen,Private room,284.0,57.0,1,1,3.0,156
Beautiful One Bedroom in Little Italy Soho,Richard,Manhattan,Little Italy,Entire home/apt,792.0,158.0,31,4,5.0,93
Tranquil Room in Manhattan,Laurence,Manhattan,Lower East Side,Private room,505.0,101.0,2,20,2.0,0
Sunny Private Room in Prime Bushwick on the park!,Harold,Brooklyn,Bushwick,Private room,600.0,120.0,3,17,2.0,16
"Perfect, charming apartment on Upper East Side",Lindsey,Manhattan,East Harlem,Entire home/apt,670.0,134.0,2,6,4.0,2
Cozy one bedroom next to Central Park,Amy,Manhattan,Upper West Side,Entire home/apt,805.0,161.0,30,1,3.0,219
Central Park Loft,Evan,Manhattan,Upper West Side,Entire home/apt,1015.0,203.0,30,225,5.0,161
NEEDS TO BE DEACTIVATED- NOT AVAILABLE,Shamara,Manhattan,Washington Heights,Entire home/apt,690.0,138.0,3,5,2.0,365
Chic Greenwich Village One Bedroom,Alysha,Manhattan,Greenwich Village,Entire home/apt,409.0,82.0,7,0,5.0,201
PRIVATE ROOM - BEST PRICE,Diana,Brooklyn,Bushwick,Private room,479.0,96.0,4,17,2.0,307
2BR apartment in NY style,Alex,Manhattan,Chinatown,Entire home/apt,412.0,82.0,5,4,2.0,294
Brand new one bedroom UpperEastSide,Kenneth,Manhattan,Upper East Side,Entire home/apt,137.0,27.0,1,1,2.0,359
Quiet Private Room in Brooklyn,Stephany,Brooklyn,Bushwick,Private room,725.0,145.0,2,83,4.0,155
Cozy Room in the heart of Bushwick,Malachi,Brooklyn,Bushwick,Private room,866.0,173.0,3,25,5.0,90
1 Bdrm in Luxury High Rise,Jimmy,Manhattan,Financial District,Private room,1058.0,212.0,3,0,4.0,112
Cozy East Village Haven,Anna,Manhattan,East Village,Entire home/apt,571.0,114.0,10,35,3.0,51
Bushwick Art collective haven,Adam,Brooklyn,Bushwick,Entire home/apt,391.0,78.0,7,27,4.0,0
Huge family 2 bedroom in Ideal Upper Manhattan,Rebecca,Manhattan,Harlem,Entire home/apt,1056.0,211.0,2,17,3.0,19
"â¥â¥â¥*NYC Room: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",Annie Lawrence,Queens,Woodhaven,Private room,253.0,51.0,4,0,5.0,150
Private room for 2  NY Close to LGA No hidden fees,Dante,Queens,Jackson Heights,Private room,173.0,35.0,1,204,5.0,24
Brooklyn Oasis - Master Bedroom.,Rachel,Brooklyn,Prospect-Lefferts Gardens,Private room,408.0,82.0,3,62,1.0,90
Sonder | 116 John | Vibrant Studio + Fitness Room,Sonder (NYC),Manhattan,Financial District,Entire home/apt,356.0,71.0,29,0,3.0,339
Cozy apartment by Central Park,Erik,Manhattan,Hell's Kitchen,Shared room,739.0,148.0,1,14,3.0,349
"Lower Manhattan 2 Bedroom, Very Convenient!",Brett,Manhattan,Little Italy,Entire home/apt,124.0,25.0,2,26,4.0,267
Renovated Modern Home Perfect for a Family,Richard,Brooklyn,Windsor Terrace,Entire home/apt,1171.0,234.0,5,20,2.0,0
"Luxury Townhouse , Private Garden",Ramez,Manhattan,Greenwich Village,Entire home/apt,879.0,176.0,5,0,2.0,0
Upper East Side Studio,Priscilla,Manhattan,Upper East Side,Entire home/apt,343.0,69.0,1,2,2.0,0
Artsy Queen Room in BUSHWICK: Jefferson L train,Aj,Queens,Ridgewood,Private room,615.0,123.0,3,13,2.0,65
Private room in Upper West Side,Jeta,Manhattan,Upper West Side,Private room,985.0,197.0,2,25,3.0,0
Enjoy Manhattan without paying Manhattan prices,Diana,Staten Island,St. George,Private room,59.0,12.0,2,29,4.0,57
Great Location - Bedford Bedroom,Mark,Brooklyn,Williamsburg,Private room,990.0,198.0,2,1,4.0,0
"sunny airy bohemian rm, private bath! hip 'shwick",Theodora,Brooklyn,Bushwick,Private room,592.0,118.0,2,4,4.0,0
"Cozy Room Available in Bushwick, Brooklyn",Britani,Brooklyn,Bushwick,Private room,114.0,23.0,4,2,2.0,89
"1 bedroom w/ Queen bed, in Manhattan",Mauricio,Manhattan,Harlem,Private room,1162.0,232.0,2,0,1.0,0
Spacious Bedroom for 2 w/ washer/dryer + backyard,Rafael,Brooklyn,Bushwick,Private room,201.0,40.0,1,40,2.0,354
Heart of long island City,Amira,Queens,Long Island City,Private room,1143.0,229.0,1,10,5.0,365
Bright Private BR in Fort Greene Cumberland,Alex And Vlada,Brooklyn,Fort Greene,Private room,62.0,12.0,30,1,5.0,249
Lovely APT in the Heart of Bushwick!,Andy,Brooklyn,Bushwick,Entire home/apt,210.0,42.0,3,0,2.0,0
Cozy bedroom on Roosevelt Island,Jesse,Manhattan,Roosevelt Island,Private room,239.0,48.0,10,1,3.0,0
sunny beautiful studio apartment,Dee,Brooklyn,Crown Heights,Entire home/apt,293.0,59.0,2,67,3.0,75
Pied-Ã -Terre in Midtown Manhattan,Shane,Manhattan,Kips Bay,Entire home/apt,385.0,77.0,5,29,5.0,188
Your stay at NYC Artist Home,Anna,Manhattan,Harlem,Private room,1028.0,206.0,2,80,2.0,305
Upper East Side Apartment,Jack,Manhattan,Upper East Side,Entire home/apt,418.0,84.0,1,4,2.0,0
Soho! Amazing 3bedroom Apt!,Jasmine,Manhattan,SoHo,Entire home/apt,236.0,47.0,1,11,2.0,300
"HISTORIC WILLIAMSBURG, BKLYN #1",Myers,Brooklyn,Williamsburg,Private room,375.0,75.0,3,24,5.0,112
East Village - Two twin beds,Ryan,Manhattan,East Village,Private room,111.0,22.0,5,8,5.0,51
"Cute, Sun filled Sudio Apartment in Manhattan",Karen,Manhattan,Midtown,Entire home/apt,525.0,105.0,3,57,4.0,157
HUGE Studio up to 4 people 15 min to Manhattan.,David,Queens,Forest Hills,Entire home/apt,595.0,119.0,3,6,1.0,0
TRAVELERS OASIS IN MID-TOWN MANHATTAN,Penny,Manhattan,Midtown,Private room,1047.0,209.0,30,221,4.0,243
1 Room in Bushwick *Females only*,Brooke,Brooklyn,Bushwick,Private room,828.0,166.0,5,0,3.0,0
Eclectic Brooklyn Studio!,Monte,Brooklyn,Crown Heights,Entire home/apt,390.0,78.0,31,18,3.0,239
Amazing Private Room @Madison Square Garden,Piero,Manhattan,Hell's Kitchen,Private room,1165.0,233.0,1,239,2.0,262
G&G Brooklyn Palace,Garcia,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,530.0,106.0,2,68,4.0,290
**Harmony Room with Bed and Futon**,Petera,Brooklyn,Bedford-Stuyvesant,Private room,744.0,149.0,2,24,2.0,360
Comfy Private Room in Hamilton Heights,Tarirai,Manhattan,Harlem,Private room,149.0,30.0,2,59,5.0,39
Large loft in Bushwick,Paul,Brooklyn,Williamsburg,Private room,499.0,100.0,3,14,1.0,365
Amazing apartment,Lea,Manhattan,Upper East Side,Private room,612.0,122.0,6,0,3.0,0
Penthouse + Private terrace by Prospect Park -#146,Eugene,Brooklyn,Prospect-Lefferts Gardens,Private room,1146.0,229.0,90,2,2.0,277
âš¡Stylish Apt in Trendy Location!! â­,Sito,Manhattan,Chelsea,Entire home/apt,1106.0,221.0,2,6,4.0,225
Bright cozy home close to Penn Station NYCâ¤ï¸,Barbara,Queens,Long Island City,Entire home/apt,1103.0,221.0,30,0,4.0,159
2 Bedroom in Gramercy,Christina,Manhattan,Gramercy,Entire home/apt,614.0,123.0,1,0,2.0,90
Private Room & Private bathroom 2mins to subway!,Sara,Brooklyn,Bedford-Stuyvesant,Private room,522.0,104.0,1,140,1.0,144
FUN Bushwick Living,ErÃ©z,Brooklyn,Bushwick,Private room,707.0,141.0,14,3,5.0,64
Contemporary Room Close to Columbia & Central Park,Shia,Manhattan,Harlem,Private room,236.0,47.0,2,41,3.0,1
Lady's Powder Room,Basia,Brooklyn,Borough Park,Private room,115.0,23.0,1,9,4.0,11
Cozy Studio Upper East Side,Moheb,Manhattan,Upper East Side,Entire home/apt,504.0,101.0,5,36,1.0,0
Luxury NYC 2 Bedroom with Terrace,Lloyd,Manhattan,Upper East Side,Entire home/apt,907.0,181.0,7,11,5.0,302
Beautiful Private Room!,Laura,Manhattan,Harlem,Private room,1046.0,209.0,1,0,4.0,0
â˜…Pvt Room in 4BR House â˜… Backyard â˜…Laundry â˜… Room2,Abena,Brooklyn,Bedford-Stuyvesant,Private room,1158.0,232.0,30,0,5.0,221
Large Artsy Brooklyn Basement with windows,Javier,Brooklyn,Bedford-Stuyvesant,Private room,269.0,54.0,4,0,5.0,0
Modern Bedroom in the Heart of Williamsburg,Scott,Brooklyn,Williamsburg,Private room,452.0,90.0,2,0,2.0,0
One Bedroom & Artist Studio in West Harlem!,Alison,Manhattan,Harlem,Entire home/apt,421.0,84.0,30,23,5.0,357
Nomad 1BR-sleeps 4 -Near all-best location***,Taylor,Manhattan,Flatiron District,Entire home/apt,384.0,77.0,30,3,2.0,337
Downtown Manhattan Bedroom!  Top of Fidi/City Hall,Ben,Manhattan,Financial District,Private room,547.0,109.0,13,16,5.0,229
"Large, Cozy Escape in B'klyn.",Rufina,Brooklyn,Crown Heights,Private room,493.0,99.0,2,3,5.0,174
2 BR in Times Sq: The heart of NYC,Layka,Manhattan,Hell's Kitchen,Entire home/apt,379.0,76.0,3,203,2.0,90
"A GEM Garden Apt on Broadway & 42ST QUEENS, NY",Yiota,Queens,Astoria,Entire home/apt,342.0,68.0,2,260,2.0,153
Newly Renovated Studio Apartment,Paul,Manhattan,Tribeca,Entire home/apt,348.0,70.0,30,1,5.0,328
Dream apartment facing Prospect Park,Diana,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,926.0,185.0,29,0,4.0,0
Beautiful Seaview apt. Gated community.  Near JFK.,Ronn,Brooklyn,Canarsie,Entire home/apt,675.0,135.0,1,58,3.0,80
Mahattanâ€™s Room (Room name),Maria C,Queens,Jackson Heights,Private room,1019.0,204.0,3,14,2.0,68
Lovely Brooklyn room near the park & subway,Grace,Brooklyn,Crown Heights,Private room,115.0,23.0,1,0,5.0,0
Comfortable Room in UES - NYC,Jhon,Manhattan,East Harlem,Private room,645.0,129.0,4,150,4.0,277
Elegant 2 Bdrm Apt W/ Add. 2 Rms on Lower Level,Anna,Queens,Richmond Hill,Entire home/apt,1097.0,219.0,3,40,5.0,63
2 Rooms in pvt house-15 mins to NYC & free ferry,Mohsin,Staten Island,Emerson Hill,Entire home/apt,272.0,54.0,2,11,5.0,38
"Queen bed, exposed brick, quiet, w/yoga + cat!",Tc,Brooklyn,Crown Heights,Private room,809.0,162.0,4,2,2.0,29
APARTAMENTO EN JACKSON HGTS,Martha Liliana,Queens,East Elmhurst,Private room,367.0,73.0,2,1,3.0,363
"nice backyard, cool roommates",Kenny,Brooklyn,Crown Heights,Private room,654.0,131.0,10,0,3.0,360
Excellent large private room - HK/Central Park SW,Lancelot,Manhattan,Hell's Kitchen,Private room,841.0,168.0,1,141,4.0,132
Spacious shared room near L-train,Alexander,Brooklyn,Bushwick,Shared room,436.0,87.0,30,0,3.0,355
Park Ave Apt in the Heart of NYC,Anna,Manhattan,Murray Hill,Entire home/apt,655.0,131.0,3,13,5.0,0
Location! Location!,Devon,Manhattan,Harlem,Private room,301.0,60.0,30,4,4.0,291
Your stylish home in Park Slope,Liberty,Brooklyn,South Slope,Entire home/apt,963.0,193.0,2,6,5.0,1
WeLive Wall Street -- Studio Apartment,Unknown Host,Manhattan,Financial District,Entire home/apt,798.0,160.0,1,152,2.0,339
VERY LARGE STUDIO APT BEST LOCATION  IN NYC,Julia,Manhattan,Midtown,Entire home/apt,502.0,100.0,30,1,5.0,177
Cozy affordable room #3,Jannices,Brooklyn,Bushwick,Private room,606.0,121.0,1,33,3.0,1
Large bright room in Brooklyn artist's apartment!,July,Brooklyn,Bedford-Stuyvesant,Private room,1101.0,220.0,1,1,4.0,95
Cozy spacious UES studio,Megan,Manhattan,Upper East Side,Entire home/apt,695.0,139.0,1,20,5.0,166
Rare Find! - Smart Home Condo in Upper Manhattan!,Cameron,Manhattan,East Harlem,Private room,983.0,197.0,3,15,3.0,0
Recently Renovated Boerum Hill Apt,Kayla,Brooklyn,Boerum Hill,Entire home/apt,960.0,192.0,1,0,1.0,234
"ONLY 5 MIN TO MANHATAN, BRAND NEW APARTMENT",Ana Y Victor,Brooklyn,Williamsburg,Private room,412.0,82.0,1,49,4.0,77
"Newly built Apt in 2015, 3min to Subway",Momoyo,Queens,Elmhurst,Private room,1082.0,216.0,29,1,3.0,35
"Simple, Safe, Clean",Akiva,Brooklyn,Midwood,Private room,636.0,127.0,2,0,5.0,7
"Colorful, Sunny and Spacious Brooklyn Apartment",Sarah,Brooklyn,Greenpoint,Entire home/apt,716.0,143.0,4,3,2.0,7
Deluxe Studio view Empire State #10,Alberto,Manhattan,Midtown,Entire home/apt,127.0,25.0,1,10,5.0,182
Cozy Bushwick Apt with Big Private Balcony & Cats,Liza,Brooklyn,Bushwick,Private room,596.0,119.0,1,1,5.0,0
private modern room (long term 1 month or more),Annie,Brooklyn,Bedford-Stuyvesant,Private room,486.0,97.0,2,3,2.0,213
Unknown Listing,Glenda,Manhattan,Harlem,Private room,221.0,44.0,1,250,3.0,284
"ðŸŒžEntire 2br KING BED, Smart TV Large serene cleanâ£ï¸",Hardy,Brooklyn,Bushwick,Entire home/apt,748.0,150.0,2,29,4.0,330
"Heavy Sun, Quiet, Arty 1 Bedroom",Johnston,Brooklyn,Sunset Park,Entire home/apt,1167.0,233.0,18,19,1.0,155
"Sunny, Modern Williamsburg Condo Steps from Train",John,Brooklyn,Williamsburg,Entire home/apt,1037.0,207.0,2,21,3.0,335
"Private, Cozy Room on Thompson St. Near the Park",John,Manhattan,Greenwich Village,Private room,380.0,76.0,2,184,2.0,0
Private Room for Cool Low Maintenance Person #1,Amy,Brooklyn,Bushwick,Private room,979.0,196.0,10,16,3.0,95
Sun Drenched 1 Bedroom in Carroll Gardens,Annette,Brooklyn,Carroll Gardens,Entire home/apt,892.0,178.0,1,62,5.0,179
"Private and super quiet, Step to Subway",Ofer,Manhattan,Upper East Side,Entire home/apt,810.0,162.0,4,9,1.0,364
A sunny room within a catering studioâ€™s loft space,Mutale,Brooklyn,Fort Greene,Private room,395.0,79.0,2,2,2.0,164
Artist's home in Williamsburg,Jeanne,Brooklyn,Williamsburg,Entire home/apt,1004.0,201.0,5,5,4.0,198
Perfect 1 bedroom for short or extended stay.,Arelis,Manhattan,Harlem,Entire home/apt,812.0,162.0,3,16,4.0,0
"Lovely, bright 2BR Apt in Crown Heights",Kate,Brooklyn,Crown Heights,Entire home/apt,444.0,89.0,2,22,4.0,20
Mom Room Private key lock Private entrance,Julio,Brooklyn,Bushwick,Private room,1144.0,229.0,5,42,2.0,347
Cozy Brooklyn Camper van.,David,Brooklyn,Prospect Heights,Entire home/apt,1058.0,212.0,2,0,5.0,84
Living Art Gallery Room in New Bushwick Building,Yelle,Brooklyn,Bushwick,Private room,947.0,189.0,30,79,5.0,0
The Gem: Studio Apartment in Park Slope,Allison,Brooklyn,South Slope,Entire home/apt,759.0,152.0,30,3,2.0,244
Very huge apartment in the heart of Williamsburg.,Mike,Brooklyn,Williamsburg,Entire home/apt,90.0,18.0,2,10,3.0,169
NYC Chelsea Luxury Modern Studio,Alice,Manhattan,Chelsea,Entire home/apt,232.0,46.0,6,5,5.0,0
1630 Madison Avenue 4C,Maria Teresa,Manhattan,East Harlem,Entire home/apt,685.0,137.0,30,9,3.0,202
Bright 3 bedroom apt in South Brooklyn,Patrice,Brooklyn,Bensonhurst,Entire home/apt,450.0,90.0,2,0,3.0,0
Chelsea Apartment (2 bedroom),Russell,Manhattan,Chelsea,Entire home/apt,630.0,126.0,1,0,5.0,90
Private large bedroom with skylight in Loft.,Cecilia,Brooklyn,Williamsburg,Private room,745.0,149.0,2,10,4.0,177
A Gem close to every Borough in NYC!!,Andrea,Queens,Jackson Heights,Entire home/apt,679.0,136.0,3,23,3.0,302
Bushwick room by the park -#132,Eugene,Brooklyn,Bushwick,Private room,101.0,20.0,30,2,3.0,278
The House of Radiant Bliss,Dan,Brooklyn,Williamsburg,Entire home/apt,888.0,178.0,2,19,5.0,0
Seperate Appartement in Appartement Bklyn Hights,Andreas,Brooklyn,Brooklyn Heights,Private room,112.0,22.0,2,61,5.0,117
Charming triplex in NYC brownstone!,Silvia,Manhattan,Upper West Side,Private room,941.0,188.0,20,107,2.0,271
Cosy renovated studio apartment in Bed Stuy,Lina,Brooklyn,Bedford-Stuyvesant,Entire home/apt,583.0,117.0,3,6,2.0,0
Prime Williamsburg duplex Bedford L,Julia,Brooklyn,Williamsburg,Entire home/apt,744.0,149.0,2,79,3.0,322
Stylish garden apartment,Gennadiy,Brooklyn,Bedford-Stuyvesant,Entire home/apt,314.0,63.0,3,1,4.0,0
Spacious & newly built private room good for single/couple,Kaz,Queens,Woodside,Private room,599.0,120.0,30,2,4.0,337
Voted â€œBest of Williamsburgâ€ / 1000 sqft Loft,Logan,Brooklyn,Williamsburg,Entire home/apt,880.0,176.0,2,43,1.0,38
Staten Island Home with a View,Farah,Staten Island,Tompkinsville,Private room,612.0,122.0,2,65,5.0,293
Beautifully private furnished room,Jeremiah,Bronx,Longwood,Private room,260.0,52.0,6,0,1.0,365
Spacious 2 bedroom close to Manhattan,Unknown Host,Bronx,Highbridge,Entire home/apt,357.0,71.0,4,37,3.0,26
Eclectic Enclave - 3 blks to G - private space,Sharon,Brooklyn,Bedford-Stuyvesant,Entire home/apt,481.0,96.0,2,58,5.0,62
Architect's Oasis,Fabi,Brooklyn,Crown Heights,Entire home/apt,590.0,118.0,3,10,1.0,90
Spacious Bedroom with Beautiful Backyard!,Qudsia,Brooklyn,Flatlands,Private room,1070.0,214.0,1,19,4.0,364
Nice room available in Astoria for the holidays!,Bruna,Queens,Astoria,Private room,792.0,158.0,1,3,5.0,188
Behind the Red Door II,Diane And Craig,Manhattan,Harlem,Entire home/apt,219.0,44.0,30,81,4.0,224
Home by Sunny & Bay!  Sunset Park & Bayridge!,Joshua,Brooklyn,Sunset Park,Private room,823.0,165.0,3,21,4.0,277
Modern Loft in Downtown Brooklyn,Sarah,Brooklyn,Downtown Brooklyn,Entire home/apt,319.0,64.0,2,8,5.0,74
Quiet central Williamsburg Loft room,Alexander,Brooklyn,Williamsburg,Private room,804.0,161.0,5,8,1.0,64
Fantastic 2 Bedroom Apartment,Matt,Manhattan,Kips Bay,Entire home/apt,344.0,69.0,1,4,3.0,144
Nolita Artist Loft Apartment Best Location NYC,Adrianne,Manhattan,Nolita,Entire home/apt,462.0,92.0,5,36,4.0,16
Sophisticated KING 1 Bedroom Best Location,Stay With Vibe,Manhattan,Upper East Side,Entire home/apt,1052.0,210.0,30,14,3.0,357
Spacious room in front of prospect park,Emmie,Brooklyn,Prospect-Lefferts Gardens,Private room,259.0,52.0,1,45,5.0,303
Hell's Kitchen charming apartment,Miriam,Manhattan,Hell's Kitchen,Entire home/apt,913.0,183.0,1,0,5.0,10
"Beautiful, sunlit bedroom in Brooklyn",Mike,Brooklyn,Greenpoint,Private room,236.0,47.0,7,2,2.0,63
Sonder | 116 John | Vibrant 1BR + Fitness Room,Sonder (NYC),Manhattan,Financial District,Entire home/apt,213.0,43.0,29,0,4.0,342
"Prime Location 67 St & 3 Ave, walk to Central Park",Irina,Manhattan,Upper East Side,Entire home/apt,1052.0,210.0,4,4,3.0,2
Cozy bedroom in Downtown Manhattan,Hector,Manhattan,Financial District,Private room,1179.0,236.0,1,0,3.0,16
Private Floor in Garden Duplex Brownstone,Stacey,Brooklyn,Bedford-Stuyvesant,Private room,345.0,69.0,15,11,4.0,0
Charming Times Square Midtown One Bedroom!,Alexa,Manhattan,Hell's Kitchen,Private room,1011.0,202.0,2,77,4.0,177
Brooklyn Summer Sublet-Ditmas Park,Kristin,Brooklyn,Flatbush,Entire home/apt,191.0,38.0,3,0,3.0,52
Beautiful 1bedroom apt in Williamsburg,Ines,Brooklyn,Williamsburg,Entire home/apt,150.0,30.0,6,4,5.0,59
1 bedroom in a super cute 2 bed,Ruth,Brooklyn,Williamsburg,Private room,107.0,21.0,60,3,3.0,273
"Huge Sunny Room in New Apartment by G, J, M trains",Andrei,Brooklyn,Bedford-Stuyvesant,Private room,236.0,47.0,14,4,5.0,0
VIP Duplex Townhouse with Private Garden!!!,Joseph,Manhattan,Greenwich Village,Entire home/apt,252.0,50.0,30,2,4.0,180
â˜… â¤ 1 Sunny apartment for family and friends â˜… â¤ â™›,Malik,Queens,Flushing,Entire home/apt,62.0,12.0,2,4,4.0,311
SWEEPING VIEWS 23d FLR~SUTTON PLACE,Ruchi,Manhattan,Midtown,Entire home/apt,419.0,84.0,30,0,5.0,90
big room in Hell's Kitchen close to Times Square,Jose Diego,Manhattan,Hell's Kitchen,Private room,237.0,47.0,1,0,4.0,0
Private Room Perfect for Students / SIUH / 002 LL safe area,Amarjit S,Staten Island,Concord,Private room,546.0,109.0,4,51,4.0,316
"A comfortable bedroom in Bensonhurst, Brooklyn",Linda,Brooklyn,Borough Park,Private room,836.0,167.0,1,1,2.0,365
River View Apartment in the Bronx,Germaine,Bronx,Kingsbridge,Entire home/apt,731.0,146.0,26,3,4.0,37
Amazing space & location 1 bedroom Apt in Gramercy,Ana Corina,Manhattan,Gramercy,Entire home/apt,1129.0,226.0,3,13,2.0,66
New! Entire private luxury apt near 3 trains!,Bella,Brooklyn,Bushwick,Entire home/apt,207.0,41.0,1,8,2.0,305
